id,nombre,precio,categoria,descuento,puntuacion,personas
1,Arroz,5.99,Alimentos,0.10,4.5,100
2,Manzana,3.49,Frutas,0.05,4.7,90
3,Plátano,2.99,Frutas,0.10,4.6,85
4,Pollo,25.99,Carnes,0.15,4.3,60
5,Arroz Integral,8.99,Alimentos,0.10,4.1,70
6,Manzana Roja,3.49,Frutas,0.05,4.7,90
7,Plátano,2.99,Frutas,0.10,4.6,85
8,Pollo Entero,25.99,Carnes,0.15,4.3,60
9,Carne Molida,19.99,Carnes,0.20,4.0,50
10,Salmon,35.99,Pescados,0.10,4.8,40
11,Atún en Lata,5.99,Pescados,0.05,4.2,75
12,Lechuga,1.99,Vegetales,0.10,4.5,100
13,Zanahoria,2.49,Vegetales,0.05,4.6,95
14,Tomate,3.99,Vegetales,0.10,4.4,85
15,Brócoli,4.99,Vegetales,0.15,4.3,80
16,Papas,3.99,Vegetales,0.20,4.1,70
17,Espinaca,2.99,Vegetales,0.10,4.7,90
18,Leche Entera,8.49,Alimentos,0.05,4.0,60
19,Yogur Natural,6.99,Alimentos,0.10,4.2,50
20,Queso Cheddar,12.99,Alimentos,0.15,4.5,40
21,Huevos,5.49,Alimentos,0.20,4.6,100
22,Mantequilla,7.99,Alimentos,0.10,4.3,80
23,Pan Blanco,9.99,Alimentos,0.05,4.1,70
24,Cereal,14.99,Alimentos,0.10,4.4,60
25,Avena,6.49,Alimentos,0.15,4.5,50
26,Azúcar,4.99,Alimentos,0.20,4.0,40
27,Sal,1.99,Alimentos,0.10,4.2,100
28,Pimienta,3.49,Alimentos,0.05,4.3,90
29,Aceite de Oliva,15.99,Alimentos,0.10,4.6,80
30,Harina,3.99,Alimentos,0.15,4.1,70
31,Polvo de Hornear,2.49,Alimentos,0.20,4.0,60
32,Levadura,1.99,Alimentos,0.10,4.5,50
33,Chocolate,9.99,Alimentos,0.05,4.7,40
34,Galletas,5.99,Alimentos,0.10,4.4,100
35,Helado,12.49,Alimentos,0.15,4.6,80
36,Refresco,8.99,Bebidas,0.20,4.1,70
37,Café,14.99,Bebidas,0.10,4.3,60
38,Té,7.49,Bebidas,0.05,4.2,50
39,Cerveza,18.99,Bebidas,0.10,4.5,40
