Edad,Experiencia,Salario,Educacion,Ascenso
25,2,2000,Bachiller,No
30,5,3000,Maestría,Sí
28,3,2500,Bachiller,No
35,10,5000,Doctorado,Sí
40,15,7000,Doctorado,Sí
22,1,1800,Bachiller,No
27,4,2700,Bachiller,No
32,7,3500,Maestría,Sí
29,3,2600,Bachiller,No
45,20,10000,Doctorado,Sí
26,2,2100,Bachiller,No
31,6,3200,Maestría,Sí
38,12,6000,Doctorado,Sí
24,1,1900,Bachiller,No
33,8,4000,Maestría,Sí
50,25,12000,Doctorado,Sí
23,2,2000,Bachiller,No
28,3,2400,Bachiller,No
36,11,5500,Doctorado,Sí
41,16,7500,Doctorado,Sí
27,4,2800,Bachiller,No
34,9,4200,Maestría,Sí
37,13,6200,Doctorado,Sí
39,14,6700,Doctorado,Sí
29,3,2500,Bachiller,No
30,5,3100,Maestría,Sí
42,18,8000,Doctorado,Sí
26,2,2200,Bachiller,No
31,6,3300,Maestría,Sí
44,19,9000,Doctorado,Sí
21,0,1700,Bachiller,No
48,22,11000,Doctorado,Sí
37,12,5800,Doctorado,Sí
32,7,3600,Maestría,Sí
29,3,2600,Bachiller,No
40,15,7200,Doctorado,Sí
23,1,1800,Bachiller,No
27,4,2900,Bachiller,No
35,10,5100,Doctorado,Sí
46,21,10500,Doctorado,Sí
28,3,2500,Bachiller,No
33,8,4100,Maestría,Sí
25,2,2300,Bachiller,No
50,26,12500,Doctorado,Sí
31,5,3200,Maestría,Sí
42,17,7700,Doctorado,Sí
24,1,1900,Bachiller,No
39,14,6900,Doctorado,Sí
45,20,9800,Doctorado,Sí
30,6,3400,Maestría,Sí
26,2,2400,Bachiller,No
37,13,6400,Doctorado,Sí
29,4,2700,Bachiller,No
41,16,7400,Doctorado,Sí
28,3,2500,Bachiller,No
36,11,5700,Doctorado,Sí
23,1,1900,Bachiller,No
48,22,11300,Doctorado,Sí
34,9,4300,Maestría,Sí
32,7,3700,Maestría,Sí
39,14,6800,Doctorado,Sí
27,3,2600,Bachiller,No
31,5,3100,Maestría,Sí
50,25,12100,Doctorado,Sí
44,19,8900,Doctorado,Sí
25,2,2200,Bachiller,No
35,10,5000,Doctorado,Sí
42,17,7800,Doctorado,Sí
21,0,1700,Bachiller,No
30,5,3200,Maestría,Sí
40,15,7100,Doctorado,Sí
24,1,1800,Bachiller,No
38,12,6300,Doctorado,Sí
29,4,2800,Bachiller,No
46,21,10400,Doctorado,Sí
22,0,1750,Bachiller,No
50,26,12600,Doctorado,Sí
31,6,3400,Maestría,Sí
45,20,10100,Doctorado,Sí
34,8,4200,Maestría,Sí
27,4,2900,Bachiller,No
43,18,8500,Doctorado,Sí
28,3,2600,Bachiller,No
39,14,7000,Doctorado,Sí
37,12,6000,Doctorado,Sí
26,2,2300,Bachiller,No
48,22,11200,Doctorado,Sí
29,3,2700,Bachiller,No
35,10,5200,Doctorado,Sí
33,7,3900,Maestría,Sí
32,6,3600,Maestría,Sí
42,16,7600,Doctorado,Sí
30,5,3300,Maestría,Sí
41,15,7300,Doctorado,Sí
23,1,1850,Bachiller,No
36,11,5600,Doctorado,Sí
50,25,12200,Doctorado,Sí
24,1,1900,Bachiller,No
44,19,9200,Doctorado,Sí
27,3,2500,Bachiller,No
47,21,10700,Doctorado,Sí
31,6,3500,Maestría,Sí
28,3,2600,Bachiller,No
45,20,9900,Doctorado,Sí
